,Diện tích,Mức giá,Mặt tiền,Đường vào,Số phòng ngủ,Số toilet,id,legal codes,direction codes,most_similar
1261,10100.0,0.034653465346534656,100,4,0,0,34335939,80,-1,"['34292346', '33266068', '34324934', '34266160', '34209487']"
1262,100.0,4.0,0,0,0,0,34336203,80,-1,"['34338369', '34338570', '34211947', '34252271', '34341225']"
1263,1100.0,0.5272727272727272,18.2,8,0,0,34336317,80,-1,"['34185095', '33169643', '34305066', '34231962', '32825634']"
1264,5350.0,0.5420560747663551,50,0,0,0,34336401,-1,-1,"['34270905', '34042610', '34228380', '31950422', '33637692']"
1265,500.0,0.0,0,0,0,0,34337059,80,-1,"['34273240', '34218331', '34328624', '33887187', '34262918']"
1266,250.0,0.0,0,0,0,0,34337101,101,-1,"['27700258', '34267482', '34313382', '28503552', '34337863']"
1267,456.0,0.2521929824561403,0,10,0,0,34337235,38,-1,"['30916195', '34338775', '34059671', '34322162', '34322345']"
1268,165.0,0.0,6,0,0,0,34337265,83,-1,"['34338786', '33345373', '33489580', '30966538', '33511409']"
1269,200.0,0.75,0,0,0,0,34337677,-1,-1,"['34337771', '34337837', '34254436', '33961781', '34311692']"
1270,200.0,5.0,0,8,0,0,34337710,80,-1,"['34100466', '34263978', '34307430', '34312079', '34328621']"
1271,200.0,0.75,0,0,0,0,34337771,-1,-1,"['34337677', '34337837', '34254436', '33961781', '34311692']"
1272,100.0,0.0,0,0,0,0,34337772,83,-1,"['34334928', '34337867', '34338097', '34338242', '32015610']"
1273,14000.0,0.12857142857142856,0,0,0,0,34337774,107,-1,"['34305435', '34216402', '34326910', '34340386', '34333315']"
1274,500.0,5.0,0,0,0,0,34337778,124,-1,"['24508483', '30954565', '30761443', '33197576', '33429308']"
1275,14000.0,0.12857142857142856,0,0,0,0,34337833,-1,-1,"['34331187', '34200496', '33993980', '34052218', '34320728']"
1276,200.0,0.75,0,0,0,0,34337837,-1,-1,"['34337677', '34337771', '34254436', '33961781', '34311692']"
1277,200.0,0.0,0,0,0,0,34337863,98,-1,"['34337101', '27700258', '34338488', '34267482', '34329800']"
1278,125.0,0.0,0,0,0,0,34337867,83,-1,"['34334928', '34337772', '34338097', '34338242', '32015610']"
1279,200.0,4.5,0,0,0,0,34337886,83,-1,"['34290888', '33463388', '33736038', '33735958', '32890700']"
1280,216.0,0.9953703703703703,0,0,0,0,34337892,115,-1,"['34337900', '30735362', '34051563', '34317537', '30185709']"
1281,200.0,5.0,10,7,0,0,34337895,23,-1,"['34305253', '34332704', '24251601', '34324034', '34326023']"
1282,200.0,0.0,0,0,0,0,34337900,116,-1,"['34337892', '34051563', '33848128', '30735362', '34302112']"
1283,203.0,1.6748768472906403,7,30,0,0,34337969,83,-1,"['33902220', '33955367', '34187519', '33224883', '34070963']"
1284,220.0,2.772727272727273,0,0,0,0,34337992,-1,-1,"['34046452', '32597521', '24414253', '31463941', '34311868']"
1285,1000.0,0.0,0,0,0,0,34338097,83,-1,"['34337867', '34334928', '34337772', '32015610', '34338242']"
1286,200.0,0.0,0,0,0,0,34338137,124,-1,"['33429308', '33197576', '30761443', '31728941', '33175934']"
1287,180.0,1.1111111111111112,2,20,0,0,34338154,80,-1,"['32969483', '34347475', '34317562', '34230888', '34340306']"
1288,200.0,4.1,0,0,0,0,34338169,33,-1,"['34303579', '33503903', '34303701', '34265345', '34330260']"
1289,200.0,0.0,0,0,0,0,34338198,64,-1,"['34299019', '34311410', '34305179', '33129957', '33813011']"
1290,500.0,3.7,10,725,0,0,34338224,80,-1,"['34331129', '34295108', '33941318', '34342215', '34329779']"
1291,200.0,0.75,0,0,0,0,34338242,83,-1,"['34337867', '34334928', '34337772', '34338097', '33461296']"
1292,14000.0,0.12857142857142856,0,0,0,0,34338268,90,-1,"['34326975', '34311909', '34344769', '34305718', '34305208']"
1293,1738.0,0.0805523590333717,0,0,0,0,34338349,80,-1,"['34333782', '34310954', '34301899', '32520707', '34255647']"
1294,200.0,4.0,0,0,0,0,34338369,80,-1,"['34211947', '34338570', '34336203', '34252271', '34341225']"
1295,200.0,3.0,4.5,9,0,0,34338488,97,-1,"['34329800', '34322512', '34337863', '34267482', '34329635']"
1296,10000.0,0.015,0,0,0,0,34338563,-1,-1,"['33749440', '33918290', '33135547', '34270692', '34344848']"
1297,200.0,4.0,0,0,0,0,34338570,80,-1,"['34211947', '34338369', '34336203', '34252271', '34341225']"
1298,200.0,0.0,11,11,0,0,34338592,10,-1,"['34181603', '34231124', '33126686', '34322235', '34320732']"
1299,150.0,0.0,0,0,0,0,34338709,80,-1,"['34345779', '34321032', '33884792', '33830580', '33657156']"
1300,200.0,4.0,10,15,0,0,34338715,80,-1,"['33230959', '34299340', '34198306', '34235025', '34067468']"
1301,200.0,0.0,0,0,0,0,34338741,47,-1,"['34301610', '34322752', '34234619', '34313380', '34309577']"
1302,69.0,6.086956521739131,0,0,0,0,34338773,90,-1,"['34321976', '30798167', '30754048', '34089772', '33934040']"
1303,100.0,0.1,5,6,0,0,34338775,38,-1,"['34337235', '34322162', '34322345', '30916195', '34059671']"
1304,120.0,8.33325,30,0,0,0,34338780,80,-1,"['34333377', '34217613', '34323680', '33998686', '33046128']"
1305,283.0,0.0,6,0,0,0,34338786,83,-1,"['34337265', '33345373', '33489580', '30966538', '33511409']"
